"id";"title";"brand";"price";"categories";"tags"
"mpn990-0813";"Leather heels";"Bata";99;"Accessories,insoles for shoes";"Small goods "
"mpn990-0823";"leather heel strip";"Bata";79;"Accessories,insoles for shoes";"insoles "
"mpn990-0820";"leather insole into the shoe";"Bata";99;"Accessories,insoles for shoes";"Small goods "
"mpn824-6988";"Casual leather shoes";"Bata";1399;"Men,shoes,Casual";"walking,glued,smooth leather "
"mpn814-6934";"Comfortable shoes made of leather";"Bata Comfit";1399;"Men,moccasins,elegant";"walking,glued,smooth leather "
"mpn824-6933";"leather men's shoes";"Bata Comfit";1199;"Men,shoes,elegant";"walking,glued,smooth leather "
"mpn960-5323";"High-quality shell case";"Samsonite";3999;"Accessories,luggage";"suitcase,cloaks "
"mpn960-5324";"Shell suitcase on wheels";"Samsonite";4899;"Accessories,luggage";"suitcase,cloaks "
"mpn264-1010";"";"Biomecanics";1699;"Children,all children's shoes";"fashion,glued,smooth leather "
"mpn960-9321";"High-quality shell case";"Samsonite";5199;"Accessories,luggage";"suitcase,cloaks "
"mpn960-9322";"High-quality shell case";"Samsonite";6499;"Accessories,luggage";"suitcase,cloaks "
"mpn969-2378";"";"Samsonite";999;"Accessories,luggage";"briefcase,textiles "
"mpn969-2393";"Notebook bag";"Samsonite";1199;"Accessories,luggage";"briefcase,textiles "
"mpn969-2395";"Quality Notebook backpack";"Samsonite";1399;"Accessories,luggage";"backpack,textiles "
"mpn879-2165";"Men's slippers";"Bata";499;"Men,Domestic footwear";"home,glued,textiles "
"mpn969-2397";"Quality Notebook backpack";"Samsonite";1599;"Accessories,luggage";"backpack,textiles "
"mpn969-4328";"Suitcase on wheels";"Samsonite";3999;"Accessories,luggage";"suitcase,textiles "
"mpn960-6324";"High-quality shell case";"Samsonite";4899;"Accessories,luggage";"suitcase,cloaks "
"mpn871-4304";"Men's indoor boots with closed toe";"Bata";399;"Men,All sandals";"home,glued,leatherette "
"mpn871-9304";"Men's indoor boots with closed toe";"Bata";399;"Men,Domestic footwear";"home,glued,leatherette "
"mpn592-6779";"Women's shoes in the rain";"Bata";799;"Women,All shoes";"holiday,with a molded bottom right,cloaks "
"mpn379-1001";"Children's exercises";"Bata";139;"Children,All girls shoes";"home,with a molded bottom right,textiles "
"mpn379-5001";"Flower prints";"Bata";159;"Children,All girls shoes";"home,with a molded bottom right,textiles "
"mpn479-1001";"Children's exercises";"Bata";159;"Children,Tutorials";"home,with a molded bottom right,textiles "
"mpn479-5001";"Gym shoes with flowers";"Bata";179;"Children,all children's shoes";"Baby shoes walking p¯Ìmotv·¯en·,Chap. hill. mat. textile "
"mpn279-5011";"Children's household footwear";"Bata";199;"Children,All girls shoes";"home,glued,textiles "
"mpn279-9011";"children's shoes";"Bata";199;"Children,all children's shoes";"home,glued,textiles "
"mpn179-5100";"Children's home footwear";"Bata";219;"Children,all children's shoes";" "
"mpn379-5012";"children's shoes";"Bata";219;"Children,Domestic footwear";"home,glued,textiles "
"mpn379-9012";"children's shoes";"Bata";219;"Children,All boys shoes";"home,glued,textiles "
"mpn179-9005";"Children's household footwear";"Bata";299;"Children,All boys shoes";"home,glued,textiles "
"mpn104-9001";"Baby leather slippers";"Bata";599;"Children,All boys shoes";"home,glued,Smooth leather / velor "
"mpn964-4106";"Leather bag";"Bata";3599;"Accessories,bags";"bag,smooth leather "
"mpn964-6106";"Leather bag";"Bata";3599;"Accessories,bags";"bag,smooth leather "
"mpn179-9100";"Children's household footwear";"Bata";219;"Children,All boys shoes";" "
"mpn801-1100";"men's sneakers with holes";"Adidas";1399;"Men,sneakers";"walking,glued,leatherette "
"mpn889-2160";"Classic sneakers";"Vans";1599;"Men,All shoes";"walking,glued,textiles "
"mpn889-9160";"Classic sneakers";"Vans";1599;"Men,All shoes";"walking,glued,textiles "
"mpn844-6171";"leather shoes at Chukka style";"Bata";1599;"Men,All ankle boots";"walking,glued,smooth leather "
"mpn824-6605";"leather shoes in the Derby style";"Bata";1899;"Men,shoes,Casual";"walking,glued,smooth leather "
"mpn843-9641";"Suede Chukka boots";"Bata";799;"Men,ankle boots,Casual";"Men's shoes walking glued,Chap. hill. mat. velours "
"mpn594-4448";"Leather Chelsea shoes";"Bata";1999;"Women,ankle boots,without a heel";"walking,glued,other leather "
"mpn594-6448";"Leather Chelsea shoes";"Bata";1999;"Women,All shoes";"walking,glued,smooth leather "
"mpn596-5347";"Women's leather winter boots";"Bata";1399;"Women,All shoes";"of winter,glued,other leather "
"mpn524-2169";"leather shoes";"Bata";1399;"Women,shoes,without a heel";"walking,glued,other leather "
"mpn524-6169";"leather shoes";"Bata";1399;"Women,All shoes";"Women's walking shoes glued,Chap. hill. mat. Smooth leather "
"mpn544-2145";"Design leather";"Weinbrenner";1899;"Women,ankle boots,without a heel";"Women's walking shoes glued,Basic hill. Mat. Other skins "
"mpn544-4150";"Design leather";"Weinbrenner";1599;"Women,sneakers";"Women's walking shoes glued,Basic hill. Mat. Nubuk "
"mpn544-2151";"casual leather sneakers";"Weinbrenner";1399;"Women,All shoes";"walking,Flexible,other leather "
"mpn974-3142";"Men's leather jacket with stylish stitching";"Bata";3599;"Accessories,Jackets,Men";"jacket,smooth leather "
"mpn974-4142";"Women's leather jacket with stylish stitching";"Bata";3599;"Accessories,Jackets,Men";"jacket,smooth leather "
"mpn974-6142";"Men's leather jacket with stylish stitching";"Bata";3599;"Accessories,Jackets,Men";"jacket,smooth leather "
"mpn974-2312";"elegant leather jacket";"Bata";2999;"Accessories,Jackets,women";"jacket,smooth leather "
"mpn824-6760";"leather shoes";"Pinosos";1799;"Men,All low boots";"walking,Flexible,smooth leather "
"mpn824-6121";"Luxurious leather Oxford";"Bata";1799;"Men,All low boots";"Men's fashion shoes,Basic hill. Mat. Other skins "
"mpn971-6113";"Ladies jacket with stitching";"Bata";1499;"Accessories,Jackets,women";"jacket,leatherette "
"mpn971-9113";"Blue women's jacket with perforation";"Bata";1499;"Accessories,Jackets,women";"jacket,leatherette "
"mpn624-6272";"Black leather boots with wide heel";"Hogl";3199;"Women,Pumps,Low heel";"walking,glued,smooth leather "
"mpn526-8273";"Leather ballerina";"Gabor";2199;"Women,Ballerina";"fashion,glued,other leather "
"mpn919-6143";"black women's stockings";"Evona";39;"Accessories,Hosiery,women";"socks "
"mpn969-2366";"bag body";"Bata";699;"Accessories,men's bags";"cables,textiles "
"mpn724-6113";"Original leather pumps";"Clarks";2999;"Women,Pumps,Low heel";"fashion,Flexible,smooth leather "
"mpn969-6398";"bag body";"Bata";799;"Accessories,men's bags";"bag,textiles "
"mpn954-9819";"Men tapes";"Bata";499;"Accessories,Belts,Men";"Belt,smooth leather "
"mpn953-9106";"Men's leather belt";"Bata";499;"Accessories,Belts,Men";"Belt,velours "
"mpn953-9325";"Leather Mens belt with perforations";"Bata";499;"Accessories,Belts,Men";"Belt,velours "
"mpn954-1159";"White leather belt";"Bata";499;"Accessories,Belts,women";"Belt,smooth leather "
"mpn944-4121";"leather wallet";"Bata";799;"Accessories,Wallet,Men";"wallet,smooth leather "
"mpn944-6121";"leather men's wallet";"Bata";799;"Accessories,Wallet,Men";"wallet,smooth leather "
"mpn990-6100";"sponge for polishing shoes";"Collonil";99;"Accessories,Shoe care";"Attending means "
"mpn990-6101";"Sponge for black shoe";"Collonil";99;"Accessories,Shoe care";"Attending means "
"mpn990-6102";"Lack Polish for paint treatment";"Collonil";149;"Accessories,Shoe care";"Collonil Lack Polish Black "
"mpn990-6103";"cream for smooth skin with an applicator";"Collonil";99;"Accessories,Shoe care";"Collonil Soft Practic White "
"mpn728-6101";"leather pumps";"Rockport";1999;"Women,All shoes";"walking,glued,Varnished leather "
"mpn824-6125";"leather shoes";"Rockport";2599;"Men,All low boots";"walking,glued,smooth leather "
"mpn909-6109";"Umbrella";"s. Oliver";499;"Accessories,Other";"umbrella "
"mpn556-6101";"Female footwear";"Bata";1399;"Women,All shoes";"walking,glued,smooth leather "
"mpn960-6100";"Trunk lock";"Carlton";159;"Accessories,luggage";"Small goods "
"mpn960-6101";"Lock suitcase";"Carlton";179;"Accessories,luggage";"Small goods "
"mpn519-6100";"Lace Slip on";"Toms";1799;"Women,Slip - on";"Highly fashionable,glued,textiles "
"mpn556-1100";"Female footwear";"Bata";999;"Women,All shoes";"walking,Flexible (stitched),other leather "
"mpn556-5100";"Female footwear";"Bata";999;"Women,moccasins";"Women's shoes walking flexiblov· (comforter),Chap. hill. mat. Smooth leather "
"mpn534-5104";"Women's medical footwear";"Medi";1449;"Women,Health shoes - MEDI";"Women's walking shoes glued,Chap. hill. mat. Smooth leather "
"mpn534-6107";"Women's medical footwear";"Medi";1449;"Women,Health shoes - MEDI";"walking,glued,smooth leather "
"mpn534-8108";"Women's medical footwear";"Medi";1449;"Women,Health shoes - MEDI";"Women's walking shoes glued,Basic hill. Mat. Other skins "
"mpn544-8152";"Women's medical footwear";"Medi";1449;"Women,Health shoes - MEDI";" "
"mpn824-4170";"Men's health shoes";"Medi";1549;"Men,Health shoes - MEDI";"Men's shoes walking glued,Chap. hill. mat. Smooth leather "
"mpn824-5202";"Men's health shoes";"Medi";1549;"Men,Health shoes - MEDI";"Men's shoes walking glued,Chap. hill. mat. Smooth leather "
"mpn824-8171";"Men's health shoes";"Medi";1549;"Men,Health shoes - MEDI";"Men's shoes walking glued,Basic hill. Mat. Other skins "
"mpn834-4106";"Men's health shoes";"Medi";1549;"Men,Health shoes - MEDI";"Men's shoes walking glued,Chap. hill. mat. Smooth leather "
"mpn834-5105";"Men's health shoes";"Medi";1549;"Men,Health shoes - MEDI";" "
"mpn834-8108";"Men's health shoes";"Medi";1549;"Men,All low boots";"Men's shoes walking glued,Basic hill. Mat. Other skins "
"mpn544-5147";"Women's medical footwear";"Medi";1449;"Women,Health shoes - MEDI";"Women's walking shoes glued,Chap. hill. mat. Smooth leather "
"mpn824-6175";"Men's health shoes";"Medi";1549;"Men,Health shoes - MEDI";"Men's shoes walking glued,Chap. hill. mat. Smooth leather "
"mpn990-6139";"Impregnation spray for velor or nubuck shoes in dark color";"Collonil";179;"Accessories,Shoe care";"Collonil Nubuck + Velours Black "
"mpn391-9194";"color sneakers";"Mini B";699;"Children,All boys shoes";"walking,glued,Other leather "
"mpn579-0236";"Female slippers";"Bata";199;"Women,Domestic footwear";"home,glued,textiles "
"mpn824-6707";"leather shoes in the Derby style";"Bata";1799;"Men,All low boots";"walking,glued,smooth leather "
"mpn944-4124";"Men's leather wallet";"Bata";599;"Accessories,Wallet,Men";"wallet,smooth leather "
"mpn944-4129";"Men's leather wallet";"Bata";599;"Accessories,Wallet,Men";"wallet,other leather "
"mpn944-6124";"Men's leather wallet";"Bata";599;"Accessories,Wallet,Men";"wallet,smooth leather "
"mpn964-4138";"Men's leather Crossbody bag";"Bata";1799;"Accessories,men's bags";"bag,other leather "
"mpn964-6131";"Leather Mens Crossbody Bag";"Bata";1499;"Accessories,men's bags";"bag,smooth leather "
"mpn846-2436";"Casual leather shoes";"Weinbrenner";1799;"Men,All shoes";"walking,Flexible,Nubuk "
"mpn909-9217";"checked scarf";"Bata";499;"Accessories,Scarves ,Men";"shawl / scarf,textiles "
"mpn594-2455";"";"Weinbrenner";1599;"Women,All shoes";"of winter,glued,other leather "
"mpn594-4491";"Women's leather winter boots";"Weinbrenner";2399;"Women,All shoes";"walking,glued,other leather "
"mpn594-6409";"Leather shoes with original laces";"Weinbrenner";1599;"Women,All shoes";"walking,glued,other leather "
"mpn596-2334";"";"Weinbrenner";1999;"Women,All shoes";"walking,Flexible,Nubuk "
"mpn596-4334";"";"Weinbrenner";1999;"Women,All shoes";"walking,Flexible,Nubuk "
"mpn824-4845";"";"Bata";999;"Men,All low boots";"walking,glued,smooth leather "
"mpn624-6105";"leather high heels";"Bata";1399;"Women,All shoes";"walking,glued,smooth leather "
"mpn111-9100";"Children's sneakers";"Mini B";399;"Children,all children's shoes";"walking,glued,cloaks "
"mpn566-4102";"Women's leather sandals";"Weinbrenner";1399;"Women,All shoes";"walking,glued,Nubuck / velor "
"mpn824-6111";"leather men's shoes";"Climatec";1599;"Men,All low boots";"walking,glued,smooth leather "
"mpn624-6376";"leather pumps";"Rockport";2699;"Women,All shoes";"walking,glued,smooth leather "
"mpn824-6130";"leather men's shoes";"Climatec";1599;"Men,All shoes";"walking,glued,smooth leather "
"mpn960-4322";"High-quality shell case";"Samsonite";6499;"Accessories,luggage";"suitcase,cloaks "
"mpn969-6396";"Travel Notebook bag with wheels";"Samsonite";3299;"Accessories,luggage";"suitcase,textiles "
"mpn824-6146";"leather men's shoes";"Conhpol";1999;"Men,All shoes";"fashion,glued,smooth leather "
"mpn824-6153";"leather men's shoes";"Conhpol";1799;"Men,All shoes";"Social,glued,other leather "
"mpn824-6131";"leather men's shoes";"Conhpol";1999;"Men,shoes,elegant";"fashion,glued,smooth leather "
"mpn824-6149";"leather men's shoes";"Conhpol";1999;"Men,All low boots";"Social,glued,other leather "
"mpn492-9100";"children's boots";"Mini B";399;"Children,All girls shoes";"holiday,with a molded bottom right,rubber / plastic "
"mpn990-0130";"Caring spray Foot Comfort Silky";"Bama";139;"Accessories,Shoe care";"Bama Silky Comfort "
"mpn990-0133";"Polishing agent for varnished footwear";"Bama";99;"Accessories,Shoe care";"Bama Patent Lotion "
"mpn803-2122";"Men's walking shoes";"Adidas";1499;"Men,All low boots";"walking,glued,Nubuck / velor "
"mpn969-7108";"Travel suitcase on wheels";"American Tourister";2399;"Accessories,luggage";"Suitcase,textiles "
"mpn969-9106";"Travel suitcase on wheels";"American Tourister";2599;"Accessories,luggage";"suitcase,textiles "
"mpn969-9108";"Travel suitcase on wheels";"American Tourister";2399;"Accessories,luggage";"suitcase,textiles "
"mpn960-6102";"QUALITY shell case";"American Tourister";3599;"Accessories,luggage";"suitcase,cloaks "
"mpn960-6104";"Shell suitcase on wheels";"American Tourister";3999;"Accessories,luggage";"suitcase,cloaks "
"mpn960-6105";"shell case with color printing";"American Tourister";2999;"Accessories,luggage";"Suitcase,cloaks "
"mpn960-6106";"shell case with color printing";"American Tourister";3999;"Accessories,luggage";"suitcase,cloaks "
"mpn519-1101";"Linen sneakers";"Tomy takkies";299;"Women,All shoes";"Women's walking shoes glued,Chap. hill. mat. textile "
"mpn519-6106";"Linen sneakers";"Tomy takkies";299;"Women,All shoes";"Women's walking shoes glued,Chap. hill. mat. textile "
"mpn519-9105";"Linen sneakers";"Tomy takkies";299;"Women,sneakers";"Women's walking shoes glued,Chap. hill. mat. textile "
"mpn624-6221";"leather pumps";"Flexible";1799;"Women,Pumps,Low heel";"walking,glued,smooth leather "
"mpn624-8221";"Pumps tip";"Flexible";1799;"Women,Pumps,Low heel";"walking,glued,other leather "
"mpn894-9398";"Mens Sneakers";"Clarks";1999;"Men,All ankle boots";"walking,glued,smooth leather "
"mpn546-4151";"Casual leather shoes";"Weinbrenner";1399;"Women,sneakers";"walking,Flexible,Nubuk "
"mpn546-9151";"Casual leather shoes";"Weinbrenner";1399;"Women,sneakers";"walking,Flexible,Nubuk "
"mpn954-3121";"Leather belt";"Bata";299;"Accessories,Belts,Men";"Belt,smooth leather "
"mpn954-6121";"Men's leather belt";"Bata";299;"Accessories,Belts,Men";"Belt,smooth leather "
"mpn954-6122";"Men's leather belt";"Bata";399;"Accessories,Belts,Men";"Belt,smooth leather "
"mpn954-6126";"Men's leather belt";"Bata";399;"Accessories,Belts,Men";"Belt,smooth leather "
"mpn954-6130";"Men's leather belt";"Bata";499;"Accessories,Belts,Men";"Belt,smooth leather "
"mpn954-9120";"Men's leather belt";"Bata";599;"Accessories,Belts,Men";"Belt,smooth leather "
"mpn990-0140";"Shoe insole under the heel";"Bata";159;"Accessories,insoles for shoes";" "
"mpn990-0144";"Insole Memory Foam";"Bata";299;"Accessories,insoles for shoes";"Small goods "
"mpn824-6074";"men's leather shoes";"Bugatti";2799;"Men,All shoes";"walking,glued,smooth leather "
"mpn903-2101";"Leather ladies' gloves";"Bata";699;"Accessories,Glove,women";"gloves,velours "
"mpn903-6100";"leather women's gloves with a belt";"Bata";499;"Accessories,Glove,women";"gloves,velours "
"mpn904-4118";"men's leather gloves with knit";"Bata";499;"Accessories,Glove,Men";"gloves,smooth leather "
"mpn904-5109";"Leather ladies' gloves";"Bata";499;"Accessories,Glove,women";"gloves,smooth leather "
"mpn904-5114";"Ladies leather gloves with holes";"Bata";499;"Accessories,Glove,women";"gloves,smooth leather "
"mpn904-6107";"Leather ladies' gloves";"Bata";699;"Accessories,Glove,women";"gloves,smooth leather "
"mpn904-6108";"Leather ladies' gloves with stitching";"Bata";699;"Accessories,Glove,women";"gloves,smooth leather "
"mpn904-6109";"Women's leather gloves";"Bata";699;"Accessories,Glove,women";"gloves,smooth leather "
"mpn904-6111";"Women's leather gloves with zipper";"Bata";699;"Accessories,Glove,women";"gloves,smooth leather "
"mpn904-6113";"Ladies leather gloves with stitching";"Bata";699;"Accessories,Glove,women";"gloves,smooth leather "
"mpn904-6114";"Ladies leather gloves with holes";"Bata";699;"Accessories,Glove,women";"gloves,smooth leather "
"mpn904-6117";"Leather gloves with knitwear";"Bata";699;"Accessories,Glove,Men";"gloves,smooth leather "
"mpn904-6118";"men's leather gloves with knit";"Bata";699;"Accessories,Glove,Men";"gloves,smooth leather "
"mpn909-4295";"men's gloves with fabric";"Bata";599;"Accessories,Glove,Men";"gloves,textiles "
"mpn909-4297";"Men's gloves with strap";"Bata";399;"Accessories,Glove,Men";"gloves,textiles "
"mpn919-6313";"Men's socks Matex with antibacterial treatment";"Matex";119;"Accessories,Hosiery,Men";"socks "
"mpn909-5330";"Scarf";"Bata";299;"Accessories,Scarves ,women";" "
"mpn909-6295";"men's gloves with fabric";"Bata";599;"Accessories,Glove,Men";"gloves,textiles "
"mpn909-6297";"Men's gloves with strap";"Bata";599;"Accessories,Glove,Men";"gloves,textiles "
"mpn909-6330";"Scarf";"Bata";279;"Accessories,Scarves ,women";"shawl / scarf,textiles "
"mpn919-2307";"Bamboo socks";"Bellinda";99;"Accessories,Hosiery,Men";"socks,textiles "
